index,bound,sat,cost,new_degree,neighbor_mask_hex,cnf_clauses,cnf_variables,i4,k4
57,2,False,,,,13842,6965,1165,1144
58,2,False,,,,13866,6977,1143,1170
59,2,False,,,,13848,6968,1153,1157
60,2,False,,,,13860,6974,1122,1190
61,2,False,,,,13842,6965,1148,1161
62,2,False,,,,13884,6986,1133,1183
63,2,False,,,,13866,6977,1143,1170
64,2,False,,,,13902,6995,1132,1187
65,2,False,,,,13884,6986,1142,1174
66,2,False,,,,13830,6959,1128,1179
67,2,False,,,,13884,6986,1120,1196
68,2,False,,,,13812,6950,1138,1166
69,2,False,,,,13848,6968,1127,1183
70,2,False,,,,13800,6944,1136,1166
71,2,False,,,,13800,6944,1149,1153
72,2,False,,,,13836,6962,1138,1170
73,2,False,,,,13914,7001,1134,1187
74,2,False,,,,13938,7013,1125,1200
75,2,False,,,,13920,7004,1135,1187
76,2,False,,,,13896,6992,1144,1174
77,2,False,,,,13794,6941,1170,1131
78,2,False,,,,13788,6938,1156,1144
79,2,False,,,,13788,6938,1143,1157
80,2,False,,,,13824,6956,1136,1170
81,2,False,,,,13890,6989,1159,1158
82,2,False,,,,13914,7001,1150,1171
83,2,False,,,,13908,6998,1149,1171
84,2,False,,,,13932,7010,1140,1184
85,2,False,,,,13806,6947,1146,1157
86,2,False,,,,13788,6938,1156,1144
87,2,False,,,,13770,6929,1124,1173
88,2,False,,,,13824,6956,1116,1190
89,2,False,,,,13794,6941,1130,1171
90,2,False,,,,13860,6974,1109,1203
91,2,False,,,,13842,6965,1106,1203
92,2,False,,,,13782,6935,1154,1145
93,2,False,,,,13776,6932,1127,1171
94,2,False,,,,13812,6950,1120,1184
95,2,False,,,,13776,6932,1140,1158
96,2,False,,,,13848,6968,1118,1192
97,2,False,,,,13902,6995,1110,1209
98,2,False,,,,13866,6977,1133,1180
99,2,False,,,,13848,6968,1143,1167
100,2,False,,,,13872,6980,1114,1200
101,2,False,,,,13818,6953,1131,1174
102,2,False,,,,13818,6953,1131,1174
103,2,False,,,,13836,6962,1121,1187
104,2,False,,,,13800,6944,1141,1161
105,2,False,,,,13854,6971,1124,1187
106,2,False,,,,13830,6959,1128,1179
107,2,False,,,,13866,6977,1117,1196
108,2,False,,,,13872,6980,1118,1196
109,2,False,,,,13854,6971,1128,1183
110,2,False,,,,13818,6953,1126,1179
111,2,False,,,,13818,6953,1139,1166
112,2,False,,,,13854,6971,1128,1183
113,2,False,,,,13800,6944,1165,1137
114,2,False,,,,13818,6953,1155,1150
115,2,False,,,,13830,6959,1144,1163
116,2,False,,,,13848,6968,1134,1176
117,2,False,,,,13860,6974,1132,1180
118,2,False,,,,13806,6947,1152,1151
119,2,False,,,,13908,6998,1129,1191
120,2,False,,,,13890,6989,1139,1178
121,2,False,,,,13884,6986,1122,1194
122,2,False,,,,13878,6983,1157,1158
123,2,False,,,,13848,6968,1169,1141
124,2,False,,,,13842,6965,1168,1141
125,2,False,,,,13866,6977,1159,1154
126,2,False,,,,13824,6956,1182,1124
127,2,False,,,,13812,6950,1167,1137
128,2,False,,,,13818,6953,1155,1150
129,2,False,,,,13848,6968,1147,1163
130,2,False,,,,13818,6953,1168,1137
131,2,False,,,,13830,6959,1157,1150
132,2,False,,,,13776,6932,1140,1158
133,2,False,,,,13824,6956,1107,1199
134,2,False,,,,13806,6947,1117,1186
135,2,False,,,,13824,6956,1116,1190
136,2,False,,,,13770,6929,1137,1160
137,2,False,,,,13806,6947,1126,1177
138,2,False,,,,13788,6938,1114,1186
139,2,False,,,,13788,6938,1127,1173
140,2,False,,,,13824,6956,1116,1190
141,2,False,,,,13788,6938,1127,1173
142,2,False,,,,13806,6947,1117,1186
143,2,False,,,,13842,6965,1106,1203
144,2,False,,,,13884,6986,1127,1189
145,2,False,,,,13854,6971,1135,1176
146,2,False,,,,13884,6986,1127,1189
147,2,False,,,,13914,7001,1119,1202
148,2,False,,,,13884,6986,1136,1180
149,2,False,,,,13854,6971,1144,1167
150,2,False,,,,13884,6986,1136,1180
151,2,False,,,,13914,7001,1128,1193
152,2,False,,,,13848,6968,1147,1163
153,2,False,,,,13878,6983,1139,1176
154,2,False,,,,13812,6950,1154,1150
155,2,False,,,,13800,6944,1152,1150
156,2,False,,,,13770,6929,1153,1144
157,2,False,,,,13788,6938,1143,1157
158,2,False,,,,13770,6929,1140,1157
159,2,False,,,,13806,6947,1133,1170
160,2,False,,,,13824,6956,1123,1183
161,2,False,,,,13806,6947,1133,1170
162,2,False,,,,13788,6938,1130,1170
163,2,False,,,,13788,6938,1143,1157
164,2,False,,,,13836,6962,1121,1187
165,2,False,,,,13818,6953,1131,1174
166,2,False,,,,13812,6950,1166,1138
167,2,False,,,,13806,6947,1139,1164
168,2,False,,,,13836,6962,1131,1177
169,2,False,,,,13800,6944,1151,1151
