global_pair_index,index_G,index_H,g6_G,g6_H,n_G,n_H,gamma_t_cartesian,gamma_direct,slack,cartesian_set,direct_set,cartesian_nodes_searched,direct_nodes_searched,direct_components
108,0,108,A_,EQjo,2,6,4,4,0,5;11;0;6,11;5;6;0,6,6,1
109,0,109,A_,EQjw,2,6,2,2,0,5;11,11;5,3,3,1
110,0,110,A_,EQyw,2,6,4,4,0,4;11;5;10,10;5;11;4,16,16,1
111,0,111,A_,EQzO,2,6,4,4,0,0;5;6;11,6;11;0;5,6,6,1
112,0,112,A_,EQzW,2,6,4,4,0,4;10;5;11,10;4;11;5,6,6,1
113,0,113,A_,EQzg,2,6,4,4,0,1;7;4;10,7;1;10;4,6,6,1
114,0,114,A_,EQzo,2,6,4,4,0,5;11;0;4,11;5;4;0,13,13,1
115,0,115,A_,EQzw,2,6,2,2,0,5;11,11;5,3,3,1
116,0,116,A_,EQ~o,2,6,4,4,0,4;10;11;5,10;4;5;11,22,22,1
117,0,117,A_,EQ~w,2,6,2,2,0,4;10,10;4,3,3,1
118,0,118,A_,ETno,2,6,4,4,0,5;11;0;6,11;5;6;0,5,5,1
119,0,119,A_,ETnw,2,6,2,2,0,5;11,11;5,3,3,1
120,0,120,A_,ETzg,2,6,4,4,0,4;10;0;6,10;4;6;0,6,6,1
121,0,121,A_,ETzo,2,6,4,4,0,5;6;11;0,11;0;5;6,17,17,1
122,0,122,A_,ETzw,2,6,2,2,0,5;11,11;5,3,3,1
123,0,123,A_,ET~w,2,6,2,2,0,4;10,10;4,3,3,1
124,0,124,A_,EUZO,2,6,4,4,0,0;7;2;1,6;1;8;3,10,10,1
125,0,125,A_,EUZ_,2,6,4,4,0,0;7;2;1,6;1;8;5,12,12,1
126,0,126,A_,EUZo,2,6,4,4,0,1;8;3;11,7;2;9;5,16,16,1
127,0,127,A_,EUZw,2,6,2,2,0,5;11,11;5,3,3,1
128,0,128,A_,EUxo,2,6,4,4,0,2;9;4;3,0;11;7;2,18,18,1
129,0,129,A_,EUzW,2,6,4,4,0,0;6;4;10,6;0;10;4,16,16,1
130,0,130,A_,EUzo,2,6,4,4,0,5;11;0;6,11;5;6;0,18,18,1
131,0,131,A_,EUzw,2,6,2,2,0,5;11,11;5,3,3,1
132,0,132,A_,EU~w,2,6,2,2,0,4;10,10;4,3,3,1
133,0,133,A_,EV~w,2,6,2,2,0,3;9,9;3,3,3,1
134,0,134,A_,E]yw,2,6,4,4,0,2;6;0;8,8;0;6;2,20,20,1
