graph6,n,m,Delta,delta,tree,regular,gamma,gamma_set,gamma_t,gamma_t_set,independent_domination,independent_domination_set,connected_domination,connected_domination_set,roman_domination,roman_twos,roman_ones,paired_domination,paired_domination_set,paired_matching,alpha,alpha_set,tau,min_maximal_matching,mu_unmatched,mu_matching,ore_slack,tx_i_mu_slack
KCRsA?_C?O?_,12,12,5,1,0,0,6,63,6,63,6,1008,6,63,8,32,2000,6,63,0-3;1-4;2-5,6,1008,6,3,4032,0-3;1-4;2-5,0,-3
KCR{A?_C?O?_,12,13,6,1,0,0,6,63,6,63,6,2016,6,63,7,32,1984,6,63,0-3;1-4;2-5,6,2016,6,3,4032,0-3;1-4;2-5,0,-3
KCY[A?_C?O?_,12,12,4,1,0,0,6,63,6,63,6,1638,6,63,8,17,2944,8,255,0-6;1-7;2-4;3-5,6,1638,6,4,1728,0-3;1-4;2-8;5-11,0,-2
KCZCA?_C?O?_,12,11,3,1,1,0,6,63,6,63,6,504,6,63,8,17,2944,6,63,0-3;1-5;2-4,6,504,6,3,4032,0-3;1-5;2-4,0,-3
KCZKA?_C?O?_,12,12,4,1,0,0,6,63,6,63,6,1260,6,63,8,17,2944,6,63,0-3;1-5;2-4,6,1260,6,3,4032,0-3;1-5;2-4,0,-3
KCZSA?_C?O?_,12,12,4,1,0,0,6,63,6,63,6,1008,6,63,8,17,2944,6,63,0-3;1-5;2-4,6,1008,6,3,4032,0-3;1-5;2-4,0,-3
KCZ[A?_C?O?_,12,13,5,1,0,0,6,63,6,63,6,1764,6,63,8,17,2944,6,63,0-3;1-5;2-4,6,1764,6,3,4032,0-3;1-5;2-4,0,-3
KCZcA?_C?O?_,12,12,4,1,0,0,6,63,6,63,6,504,6,63,8,17,2944,6,63,0-3;1-4;2-5,6,504,6,3,4032,0-3;1-4;2-5,0,-3
KCZkA?_C?O?_,12,13,5,1,0,0,6,63,6,63,6,1512,6,63,8,17,2944,6,63,0-3;1-4;2-5,6,1512,6,3,4032,0-3;1-4;2-5,0,-3
KCZsA?_C?O?_,12,13,5,1,0,0,6,63,6,63,6,1008,6,63,8,17,2944,6,63,0-3;1-4;2-5,6,1008,6,3,4032,0-3;1-4;2-5,0,-3
KCZ{A?_C?O?_,12,14,6,1,0,0,6,63,6,63,6,2016,6,63,7,32,1984,6,63,0-3;1-4;2-5,6,2016,6,3,4032,0-3;1-4;2-5,0,-3
KCfsA?_C?O?_,12,13,5,1,0,0,6,63,6,63,6,1008,6,63,8,32,2000,8,255,0-6;1-7;2-5;3-4,6,1008,6,4,2752,0-3;1-5;2-8;4-10,0,-2
KCf{A?_C?O?_,12,14,6,1,0,0,6,63,6,63,6,2016,6,63,7,32,1984,8,255,0-6;1-7;2-5;3-4,6,2016,6,4,2752,0-3;1-5;2-8;4-10,0,-2
KCpsA?_C?O?_,12,12,4,1,0,0,6,63,6,63,6,1008,6,63,8,33,1920,6,63,0-3;1-4;2-5,6,1008,6,3,4032,0-3;1-4;2-5,0,-3
KCqkA?_C?O?_,12,12,4,1,0,0,6,63,6,63,6,1386,6,63,9,1,3974,6,63,0-3;1-4;2-5,6,1386,6,3,4032,0-3;1-4;2-5,0,-3
KCrcA?_C?O?_,12,12,4,1,0,0,6,63,6,63,6,504,6,63,8,33,1920,6,63,0-3;1-4;2-5,6,504,6,3,4032,0-3;1-4;2-5,0,-3
KCrkA?_C?O?_,12,13,5,1,0,0,6,63,6,63,6,1512,6,63,8,32,1992,6,63,0-3;1-4;2-5,6,1512,6,3,4032,0-3;1-4;2-5,0,-3
KCrsA?_C?O?_,12,13,5,1,0,0,6,63,6,63,6,1008,6,63,8,32,2000,6,63,0-3;1-4;2-5,6,1008,6,3,4032,0-3;1-4;2-5,0,-3
KCr{A?_C?O?_,12,14,6,1,0,0,6,63,6,63,6,2016,6,63,7,32,1984,6,63,0-3;1-4;2-5,6,2016,6,3,4032,0-3;1-4;2-5,0,-3
