graph6,n,m,Delta,delta,tree,regular,gamma,gamma_set,gamma_t,gamma_t_set,independent_domination,independent_domination_set,connected_domination,connected_domination_set,roman_domination,roman_twos,roman_ones,paired_domination,paired_domination_set,paired_matching,alpha,alpha_set,tau,min_maximal_matching,mu_unmatched,mu_matching,ore_slack,tx_i_mu_slack
QhE?GC@?K??@?@??_?G?@??C??G,18,17,3,1,1,0,7,75049,10,104847,7,75050,15,130543,12,37001,131584,10,104847,0-1;2-3;7-8;11-12;15-16,9,87722,9,6,9810,0-5;2-3;7-8;11-12;14-15;16-17,4,-1
QhE?GC@?G?o??@??_?G?@??C??G,18,17,3,1,1,0,6,74313,10,105261,6,74313,15,130031,12,73865,1536,10,105261,0-5;2-3;8-9;11-12;15-16,9,87381,9,6,37170,0-11;2-3;6-7;9-10;13-14;16-17,6,0
QhCK?C@?G?o??@??_?G?@??C??G,18,17,3,1,1,0,7,74323,9,105241,7,74389,15,130015,12,73993,1056,10,105243,0-1;3-4;8-9;11-12;15-16,10,175466,8,6,149604,0-1;3-4;7-8;9-10;12-13;15-16,4,-1
QhCK?C@?G?_@_???_?G?@??C??G,18,17,3,1,1,0,6,74898,9,104025,6,74898,15,128991,12,74898,0,10,104153,0-12;3-4;6-7;9-10;15-16,9,87402,9,6,37476,0-1;3-4;7-8;10-11;13-14;16-17,6,0
A_,2,1,1,1,1,1,1,1,2,3,1,1,1,1,2,0,3,2,3,0-1,1,1,1,1,0,0-1,0,0
Bw,3,3,2,2,0,1,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,1,1,2,1,1,1-2,1,0
Bo,3,2,2,1,1,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,2,6,1,1,2,0-2,1,0
C~,4,6,3,3,0,1,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,1,1,3,2,0,0-1;2-3,2,1
C},4,5,3,2,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,2,12,2,1,12,0-1,2,0
Cr,4,4,2,2,0,1,2,3,2,3,2,6,2,3,3,1,8,2,3,0-1,2,6,2,2,0,0-1;2-3,0,0
D~{,5,10,4,4,0,1,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,1,1,4,2,1,1-2;3-4,3,1
D~w,5,9,4,3,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,2,24,3,2,1,1-3;2-4,3,1
D}o,5,7,4,2,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,3,28,2,1,28,0-1,3,0
Dvw,5,8,4,3,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,2,6,3,2,1,1-3;2-4,3,1
Ds[,5,6,3,2,0,0,2,3,2,3,2,17,2,3,3,1,16,2,3,0-1,3,14,2,2,2,0-2;3-4,1,0
E~~w,6,15,5,5,0,1,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,1,1,5,3,0,0-1;2-3;4-5,4,2
E~~o,6,14,5,4,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,2,48,4,2,48,0-1;2-3,4,1
E~z_,6,12,5,3,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,3,56,3,2,24,0-1;2-5,4,1
E}~o,6,13,5,4,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,2,12,4,2,12,0-4;1-5,4,1
E}r?,6,9,5,2,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,4,60,2,1,60,0-1,4,0
Evz_,6,11,5,3,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,3,56,3,2,24,0-1;2-5,4,1
Er~o,6,12,4,4,0,1,2,3,2,3,2,6,2,3,3,1,8,2,3,0-1,2,6,4,2,6,0-4;3-5,2,0
Es`w,6,8,4,2,0,0,2,3,2,3,2,33,2,3,3,1,32,2,3,0-1,4,30,2,2,6,0-3;4-5,2,0
Es\o,6,9,3,3,0,1,2,3,2,3,3,14,2,3,4,1,48,2,3,0-1,3,14,3,3,0,0-1;2-4;3-5,2,0
F~~~w,7,21,6,6,0,1,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,1,1,6,3,1,1-2;3-4;5-6,5,2
F~~~o,7,20,6,5,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,2,96,5,3,1,1-2;3-5;4-6,5,2
F~~v_,7,18,6,4,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,3,112,4,2,112,0-1;2-3,5,1
F~z~o,7,19,6,5,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,2,24,5,3,1,1-2;3-5;4-6,5,2
F~zf?,7,15,6,3,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,4,120,3,2,56,0-1;2-6,5,1
F}~v_,7,17,6,4,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,3,112,4,2,112,0-2;1-3,5,1
F}rE?,7,11,6,2,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,5,124,2,1,124,0-1,5,0
Fvz~o,7,18,6,5,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,2,6,5,3,1,1-3;2-5;4-6,5,2
Fvzf?,7,14,6,3,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,4,120,3,2,56,0-1;2-6,5,1
Fs~v_,7,15,6,4,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,3,14,4,3,1,1-4;2-5;3-6,5,2
Fr~v_,7,16,5,4,0,0,2,3,2,3,2,6,2,3,3,1,8,2,3,0-1,3,112,4,2,112,0-1;2-3,3,0
FsaBw,7,10,5,2,0,0,2,3,2,3,2,65,2,3,3,1,64,2,3,0-1,5,62,2,2,14,0-4;5-6,3,0
Fs`zo,7,12,4,3,0,0,2,3,2,3,3,97,2,3,4,1,96,2,3,0-1,4,30,3,3,2,0-2;3-5;4-6,3,0
G~~~~{,8,28,7,7,0,1,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,1,1,7,4,0,0-1;2-3;4-5;6-7,6,3
G~~~~w,8,27,7,6,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,2,192,6,3,192,0-1;2-3;4-5,6,2
G~~~vo,8,25,7,5,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,3,224,5,3,96,0-1;2-3;4-7,6,2
G~~v~w,8,26,7,6,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,2,48,6,3,48,0-1;2-6;3-7,6,2
G~~vf_,8,22,7,4,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,4,240,4,2,240,0-1;2-3,6,1
G~z~vo,8,24,7,5,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,3,224,5,3,24,0-5;1-6;2-7,6,2
G~zfF?,8,18,7,3,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,5,248,3,2,120,0-1;2-7,6,1
G}~v~w,8,25,7,6,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,2,12,6,3,12,0-1;4-6;5-7,6,2
G}~vf_,8,21,7,4,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,4,240,4,2,240,0-2;1-3,6,1
G}r~vo,8,22,7,5,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,3,28,5,3,12,0-5;1-6;4-7,6,2
G}rEE?,8,13,7,2,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,6,252,2,1,252,0-1,6,0
Gvz~vo,8,23,7,5,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,3,224,5,3,6,0-5;3-6;4-7,6,2
GvzfF?,8,17,7,3,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,5,248,3,2,120,0-1;2-7,6,1
Gs~vf_,8,19,7,4,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,4,240,4,3,48,0-1;2-6;3-7,6,2
Gr~v~w,8,24,6,6,0,1,2,3,2,3,2,6,2,3,3,1,8,2,3,0-1,2,6,6,3,6,0-4;3-6;5-7,4,1
Gr~vf_,8,20,6,4,0,0,2,3,2,3,2,6,2,3,3,1,8,2,3,0-1,4,240,4,2,240,0-1;2-3,4,0
Gs^~vo,8,21,6,5,0,0,2,3,2,3,2,17,2,3,3,1,16,2,3,0-1,3,14,5,3,6,0-5;3-6;4-7,4,1
GsaCB{,8,12,6,2,0,0,2,3,2,3,2,129,2,3,3,1,128,2,3,0-1,6,126,2,2,30,0-5;6-7,4,0
GsaBzw,8,15,5,3,0,0,2,3,2,3,3,193,2,3,4,1,192,2,3,0-1,5,62,3,3,6,0-3;4-6;5-7,4,0
Gs`zro,8,16,4,4,0,1,2,3,2,3,4,30,2,3,4,3,0,2,3,0-1,4,30,4,4,0,0-1;2-5;3-6;4-7,4,0
H~~~~~~,9,36,8,8,0,1,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,1,1,8,4,1,1-2;3-4;5-6;7-8,7,3
H~~~~~},9,35,8,7,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,2,384,7,4,1,1-2;3-4;5-7;6-8,7,3
H~~~~z{,9,33,8,6,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,3,448,6,3,448,0-1;2-3;4-5,7,2
H~~~v~},9,34,8,7,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,2,96,7,4,1,1-2;3-4;5-7;6-8,7,3
H~~~vrw,9,30,8,5,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,4,480,5,3,224,0-1;2-3;4-8,7,2
H~~v~z{,9,32,8,6,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,3,448,6,3,448,0-1;2-4;3-5,7,2
H~~vfbo,9,26,8,4,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,5,496,4,2,496,0-1;2-3,7,1
H~z~v~},9,33,8,7,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,2,24,7,4,1,1-2;3-5;4-7;6-8,7,3
H~z~vrw,9,29,8,5,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,4,480,5,3,224,0-1;2-3;4-8,7,2
H~zf~z{,9,30,8,6,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,3,56,6,3,56,0-6;1-7;2-8,7,2
H~zfFB_,9,21,8,3,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,6,504,3,2,248,0-1;2-8,7,1
H}~v~z{,9,31,8,6,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,3,448,6,3,448,0-1;2-4;3-5,7,2
H}~vfbo,9,25,8,4,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,5,496,4,2,496,0-2;1-3,7,1
H}r~vrw,9,27,8,5,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,4,480,5,3,224,0-2;1-3;4-8,7,2
H}rEEB?,9,15,8,2,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,7,508,2,1,508,0-1,7,0
Hvz~v~},9,32,8,7,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,2,6,7,4,1,1-3;2-4;5-7;6-8,7,3
Hvz~vrw,9,28,8,5,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,4,480,5,3,224,0-1;2-3;4-8,7,2
Hvzf~z{,9,29,8,6,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,3,56,6,3,56,0-6;1-7;2-8,7,2
HvzfFB_,9,20,8,3,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,6,504,3,2,248,0-1;2-8,7,1
Hs~vfbo,9,23,8,4,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,5,496,4,3,112,0-1;2-7;3-8,7,2
Hsb~vrw,9,24,8,5,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,4,30,5,4,1,1-5;2-6;3-7;4-8,7,3
Hr~v~z{,9,30,7,6,0,0,2,3,2,3,2,6,2,3,3,1,8,2,3,0-1,3,448,6,3,448,0-1;2-4;3-5,5,1
Hr~vfbo,9,24,7,4,0,0,2,3,2,3,2,6,2,3,3,1,8,2,3,0-1,5,496,4,2,496,0-1;2-3,5,0
Hs^~vrw,9,26,7,5,0,0,2,3,2,3,2,17,2,3,3,1,16,2,3,0-1,4,480,5,3,224,0-1;2-4;3-8,5,1
HsaCC@~,9,14,7,2,0,0,2,3,2,3,2,257,2,3,3,1,256,2,3,0-1,7,254,2,2,62,0-6;7-8,5,0
Hs\v~z{,9,27,6,6,0,1,2,3,2,3,3,14,2,3,4,1,48,2,3,0-1,3,14,6,3,14,0-6;4-7;5-8,5,0
HsaCB|},9,18,6,3,0,0,2,3,2,3,3,385,2,3,4,1,384,2,3,0-1,6,126,3,3,14,0-4;5-7;6-8,5,0
HsaBzx{,9,20,5,4,0,0,2,3,2,3,4,449,2,3,4,3,0,2,3,0-1,5,62,4,4,2,0-2;3-6;4-7;5-8,5,0
I~~~~~~~w,10,45,9,9,0,1,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,1,1,9,5,0,0-1;2-3;4-5;6-7;8-9,8,4
I~~~~~~~o,10,44,9,8,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,2,768,8,4,768,0-1;2-3;4-5;6-7,8,3
I~~~~~}~_,10,42,9,7,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,3,896,7,4,384,0-1;2-3;4-5;6-9,8,3
I~~~~z~~o,10,43,9,8,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,2,192,8,4,192,0-1;2-3;4-8;5-9,8,3
I~~~~z{~?,10,39,9,6,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,4,960,6,3,960,0-1;2-3;4-5,8,2
I~~~v~}~_,10,41,9,7,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,3,896,7,4,96,0-1;2-7;3-8;4-9,8,3
I~~~vrw}?,10,35,9,5,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,5,992,5,3,480,0-1;2-3;4-9,8,2
I~~v~z~~o,10,42,9,8,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,2,48,8,4,48,0-1;2-3;6-8;7-9,8,3
I~~v~z{~?,10,38,9,6,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,4,960,6,3,960,0-1;2-4;3-5,8,2
I~~vf~}~_,10,39,9,7,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,3,112,7,4,48,0-1;2-7;3-8;6-9,8,3
I~~vfbo{?,10,30,9,4,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,6,1008,4,2,1008,0-1;2-3,8,1
I~z~v~}~_,10,40,9,7,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,3,896,7,4,24,0-1;2-7;5-8;6-9,8,3
I~z~vrw}?,10,34,9,5,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,5,992,5,3,480,0-1;2-3;4-9,8,2
I~zf~z{~?,10,36,9,6,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,4,960,6,3,960,0-3;1-4;2-5,8,2
I~zfFB_w?,10,24,9,3,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,7,1016,3,2,504,0-1;2-9,8,1
I}~v~z~~o,10,41,9,8,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,2,12,8,4,12,0-1;4-6;5-8;7-9,8,3
I}~v~z{~?,10,37,9,6,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,4,960,6,3,960,0-1;2-4;3-5,8,2
I}~vf~}~_,10,38,9,7,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,3,112,7,4,12,0-1;4-7;5-8;6-9,8,3
I}~vfbo{?,10,29,9,4,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,6,1008,4,2,1008,0-2;1-3,8,1
I}r~vrw}?,10,32,9,5,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,5,992,5,3,480,0-2;1-3;4-9,8,2
I}rF~z{~?,10,33,9,6,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,4,60,6,4,12,0-6;1-7;4-8;5-9,8,3
I}rEEB?o?,10,17,9,2,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,8,1020,2,1,1020,0-1,8,0
Ivz~v~}~_,10,39,9,7,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,3,896,7,4,6,0-3;4-7;5-8;6-9,8,3
Ivz~vrw}?,10,33,9,5,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,5,992,5,3,480,0-1;2-3;4-9,8,2
Ivzf~z{~?,10,35,9,6,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,4,960,6,3,960,0-3;1-4;2-5,8,2
IvzfFB_w?,10,23,9,3,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,7,1016,3,2,504,0-1;2-9,8,1
Is~vf~}~_,10,36,9,7,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,3,14,7,4,6,0-3;4-7;5-8;6-9,8,3
Is~vfbo{?,10,27,9,4,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,6,1008,4,3,240,0-1;2-8;3-9,8,2
Isb~vrw}?,10,29,9,5,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,5,992,5,4,96,0-1;2-7;3-8;4-9,8,3
Ir~v~z~~o,10,40,8,8,0,1,2,3,2,3,2,6,2,3,3,1,8,2,3,0-1,2,6,8,4,6,0-4;3-5;6-8;7-9,6,2
Ir~v~z{~?,10,36,8,6,0,0,2,3,2,3,2,6,2,3,3,1,8,2,3,0-1,4,960,6,3,960,0-1;2-4;3-5,6,1
Ir~vf~}~_,10,37,8,7,0,0,2,3,2,3,2,6,2,3,3,1,8,2,3,0-1,3,112,7,4,6,0-4;3-7;5-8;6-9,6,2
Ir~vfbo{?,10,28,8,4,0,0,2,3,2,3,2,6,2,3,3,1,8,2,3,0-1,6,1008,4,2,1008,0-1;2-3,6,0
Is^~vrw}?,10,31,8,5,0,0,2,3,2,3,2,17,2,3,3,1,16,2,3,0-1,5,992,5,3,480,0-1;2-4;3-9,6,1
Is`~~z{~?,10,32,8,6,0,0,2,3,2,3,2,33,2,3,3,1,32,2,3,0-1,4,30,6,4,6,0-6;3-7;4-8;5-9,6,2
IsaCCA?^w,10,16,8,2,0,0,2,3,2,3,2,513,2,3,3,1,512,2,3,0-1,8,510,2,2,126,0-7;8-9,6,0
Is\v~z{~?,10,33,7,6,0,0,2,3,2,3,3,14,2,3,4,1,48,2,3,0-1,4,960,6,3,960,0-1;2-4;3-5,6,0
IsaCC@~^o,10,21,7,3,0,0,2,3,2,3,3,769,2,3,4,1,768,2,3,0-1,7,254,3,3,30,0-5;6-8;7-9,6,0
IsaCB|}^_,10,24,6,4,0,0,2,3,2,3,4,897,2,3,4,3,0,2,3,0-1,6,126,4,4,6,0-3;4-7;5-8;6-9,6,0
IsaBzx{^?,10,25,5,5,0,1,2,3,2,3,5,62,2,3,4,3,0,2,3,0-1,5,62,5,5,0,0-1;2-6;3-7;4-8;5-9,6,0
J~~~~~~~~~_,11,55,10,10,0,1,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,1,1,10,5,1,1-2;3-4;5-6;7-8;9-10,9,4
J~~~~~~~~~?,11,54,10,9,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,2,1536,9,5,1,1-2;3-4;5-6;7-9;8-10,9,4
J~~~~~~~v}?,11,52,10,8,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,3,1792,8,4,1792,0-1;2-3;4-5;6-7,9,3
J~~~~~}~~~?,11,53,10,9,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,2,384,9,5,1,1-2;3-4;5-6;7-9;8-10,9,4
J~~~~~}~f{?,11,49,10,7,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,4,1920,7,4,896,0-1;2-3;4-5;6-10,9,3
J~~~~z~~v}?,11,51,10,8,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,3,1792,8,4,1792,0-1;2-3;4-6;5-7,9,3
J~~~~z{~Fw?,11,45,10,6,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,5,1984,6,3,1984,0-1;2-3;4-5,9,2
J~~~v~}~~~?,11,52,10,9,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,2,96,9,5,1,1-2;3-4;5-7;6-9;8-10,9,4
J~~~v~}~f{?,11,48,10,7,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,4,1920,7,4,896,0-1;2-3;4-5;6-10,9,3
J~~~vr~~v}?,11,49,10,8,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,3,224,8,4,224,0-1;2-8;3-9;4-10,9,3
J~~~vrw}Fo?,11,40,10,5,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,6,2016,5,3,992,0-1;2-3;4-10,9,2
J~~v~z~~v}?,11,50,10,8,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,3,1792,8,4,1792,0-1;2-3;4-6;5-7,9,3
J~~v~z{~Fw?,11,44,10,6,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,5,1984,6,3,1984,0-1;2-4;3-5,9,2
J~~vf~}~f{?,11,46,10,7,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,4,1920,7,4,112,0-7;1-8;2-9;3-10,9,3
J~~vfbo{F_?,11,34,10,4,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,7,2032,4,2,2032,0-1;2-3,9,1
J~z~v~}~~~?,11,51,10,9,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,2,24,9,5,1,1-2;3-5;4-6;7-9;8-10,9,4
J~z~v~}~f{?,11,47,10,7,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,4,1920,7,4,896,0-1;2-3;4-5;6-10,9,3
J~z~vr~~v}?,11,48,10,8,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,3,224,8,4,224,0-1;2-8;3-9;4-10,9,3
J~z~vrw}Fo?,11,39,10,5,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,6,2016,5,3,992,0-1;2-3;4-10,9,2
J~zf~z{~Fw?,11,42,10,6,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,5,1984,6,3,1984,0-3;1-4;2-5,9,2
J~zfF~}~f{?,11,43,10,7,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,4,120,7,4,56,0-7;1-8;2-9;6-10,9,3
J~zfFB_wF??,11,27,10,3,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,8,2040,3,2,1016,0-1;2-10,9,1
J}~v~z~~v}?,11,49,10,8,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,3,1792,8,4,1792,0-1;2-4;3-6;5-7,9,3
J}~v~z{~Fw?,11,43,10,6,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,5,1984,6,3,1984,0-1;2-4;3-5,9,2
J}~vf~}~f{?,11,45,10,7,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,4,1920,7,4,112,0-7;1-8;2-9;3-10,9,3
J}~vfbo{F_?,11,33,10,4,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,7,2032,4,2,2032,0-2;1-3,9,1
J}r~vr~~v}?,11,46,10,8,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,3,28,8,4,28,0-1;5-8;6-9;7-10,9,3
J}r~vrw}Fo?,11,37,10,5,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,6,2016,5,3,992,0-2;1-3;4-10,9,2
J}rF~z{~Fw?,11,39,10,6,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,5,1984,6,4,448,0-2;1-3;4-9;5-10,9,3
J}rEEB?oE??,11,19,10,2,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,9,2044,2,1,2044,0-1,9,0
Jvz~v~}~~~?,11,50,10,9,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,2,6,9,5,1,1-3;2-4;5-7;6-9;8-10,9,4
Jvz~v~}~f{?,11,46,10,7,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,4,1920,7,4,896,0-1;2-3;4-5;6-10,9,3
Jvz~vr~~v}?,11,47,10,8,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,3,224,8,4,224,0-1;2-8;3-9;4-10,9,3
Jvz~vrw}Fo?,11,38,10,5,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,6,2016,5,3,992,0-1;2-3;4-10,9,2
Jvzf~z{~Fw?,11,41,10,6,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,5,1984,6,3,1984,0-3;1-4;2-5,9,2
JvzfF~}~f{?,11,42,10,7,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,4,120,7,4,56,0-7;1-8;2-9;6-10,9,3
JvzfFB_wF??,11,26,10,3,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,8,2040,3,2,1016,0-1;2-10,9,1
Js~vf~}~f{?,11,43,10,7,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,4,1920,7,4,14,0-7;4-8;5-9;6-10,9,3
Js~vfbo{F_?,11,31,10,4,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,7,2032,4,3,496,0-1;2-9;3-10,9,2
Jsb~vrw}Fo?,11,34,10,5,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,6,2016,5,4,224,0-1;2-8;3-9;4-10,9,3
JsaF~z{~Fw?,11,35,10,6,0,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,5,62,6,5,1,1-6;2-7;3-8;4-9;5-10,9,4
Jr~v~z~~v}?,11,48,9,8,0,0,2,3,2,3,2,6,2,3,3,1,8,2,3,0-1,3,1792,8,4,1792,0-1;2-3;4-6;5-7,7,2
Jr~v~z{~Fw?,11,42,9,6,0,0,2,3,2,3,2,6,2,3,3,1,8,2,3,0-1,5,1984,6,3,1984,0-1;2-4;3-5,7,1
Jr~vf~}~f{?,11,44,9,7,0,0,2,3,2,3,2,6,2,3,3,1,8,2,3,0-1,4,1920,7,4,112,0-7;1-8;2-9;3-10,7,2
Jr~vfbo{F_?,11,32,9,4,0,0,2,3,2,3,2,6,2,3,3,1,8,2,3,0-1,7,2032,4,2,2032,0-1;2-3,7,0
Js^~vr~~v}?,11,45,9,8,0,0,2,3,2,3,2,17,2,3,3,1,16,2,3,0-1,3,14,8,4,14,0-5;4-8;6-9;7-10,7,2
Js^~vrw}Fo?,11,36,9,5,0,0,2,3,2,3,2,17,2,3,3,1,16,2,3,0-1,6,2016,5,3,992,0-1;2-4;3-10,7,1
Js`~~z{~Fw?,11,38,9,6,0,0,2,3,2,3,2,33,2,3,3,1,32,2,3,0-1,5,1984,6,4,448,0-1;2-5;3-9;4-10,7,2
JsaCCA?_B~_,11,18,9,2,0,0,2,3,2,3,2,1025,2,3,3,1,1024,2,3,0-1,9,1022,2,2,254,0-8;9-10,7,0
Js\v~z{~Fw?,11,39,8,6,0,0,2,3,2,3,3,14,2,3,4,1,48,2,3,0-1,5,1984,6,3,1984,0-1;2-4;3-5,7,0
